Topic,Words,Frequency,Timestamp,Global_Representation
22,"verführerin, verführerischen gefährlichen, voodoo, too hot, dr love",307,1975-1979,Toxische Liebesabhängigkeit
23,"kaliforniens, mississippi, südens, cajun, kalifornischen",53,1975-1979,Sehnsucht nach Amerika
24,"ex partners, damage, wendepunkt erkennt, pierre, he always",189,1975-1979,Befreiung aus toxischer Beziehung
25,"adler, adlers, songbird, blanca, vögelchen",191,1975-1979,Fliegen als Freiheitsmotiv 
26,"entfaltet liebe, begegnung geliebten, überschwängliches, alltägliche hinausreicht, kosmische kraft",299,1975-1979,Liebe als Transzendentes
27,"anrede mama, mother love, mütterliche liebe, vater sohn, 36",68,1975-1979,Eltern‑Kind Bindung
28,"lucille, alkohols, weins, kneipe, mustang",83,1975-1979,Alkohol und Einsamkeit
29,"torheit, fool love, selbstbezeichnung fool, he love, cheatin",89,1975-1979,Naivität in der Liebe
30,"leitung, operator, telefons, telefonieren, need love",134,1975-1979,Das Telefon als Sehnsuchtsmotiv
31,"jugendlicher verliebtheit, späten siebziger, 1976, jugendlicher leidenschaft, jahr 1976",601,1975-1979,Jugendliche Liebesballade
32,"rückblick unbeschwerte, erwachsenseins, smurfs, lucky seven, cindy",109,1975-1979,Nostalgie der Jugend
33,"schnees, let snow, schneeflocken, frostigen, fallenden schnees",28,1975-1979,Winter als Liebesmetapher
34,"sandmann, slumbers, nächtliches wiegenlied, kind schlaf, sleep tight",19,1975-1979,Schlaflieder
35,"späten siebziger, arbeiters, kommentar entfremdung, siebziger frühen, information",460,1975-1979,Technokratische Dystopie und Systemkritik
36,"fool gold, goldes, stardom, weinen mond, löcher augen",16,1975-1979,Edelsteine als Motiv für Beständigkeit
38,"gambler, spielers, kartenspiel, dice, lady luck",67,1975-1979,Glücksspiel als Metapher für das Leben
39,"america, amerikanischen traums, kommentar amerikanischen, american dream, patriotische",121,1975-1979,Amerikanische Identität und Kolonialismus
40,"stand by, reach out, hold coming, schwierigen momenten, angebots",205,1975-1979,Bedingungslose Unterstützung in Beziehungen
41,"blues musikalisches, clyde, musikalisches genre, home blues, old blues",21,1975-1979,Blues als Ausdruck von Schmerz
42,"cowboys, rodeo, pferde, prärie, südens",99,1975-1979,Amerikanischer Western‑Mythos
43,"autumn, herbstes, summer gone, laubs, bekenntnis vergänglichkeit",95,1975-1979,Jahreszeiten als Motiv des Wandels
45,"flowing, nutzt flusses, fließen flusses, ambrosia, sandstorm",75,1975-1979,Wasser als Motiv
46,"späten siebziger, disco ära, trot, körperliche verlangen, bee",268,1975-1979,Begierde und körperliche Verführung
48,"los los, broadway, york city, honky, tonk",201,1975-1979,Urbanes Stadtporträt
49,"farbe blau, baby blue, indigo, blau taucht, blau steht",53,1975-1979,Blau als Symbol der Melancholie
50,"runaway, where gonna, desperate, loin, peppermint",175,1975-1979,Flucht als Motiv der Bewältigung
51,"shangri, shangri la, venus, spaceman, paradieses",95,1975-1979,Eskapismus: Die Flucht in Reise- und Sehnsuchtsorte
52,"browns, james browns, funk ära, spank, afro amerikanische",42,1975-1979,"Funk, Soul und Tanzkultur"
53,"sugarhill, master gee, weak spot, jibbit, gee",5,1975-1979,Hip‑Hop Machtdemonstration
55,"hollywoods, unterhaltungsindustrie, janie, showbusiness, sunset boulevard",38,1975-1979,"Glamour, Ruhm, Illusion"
56,"silent night, holy night, heavenly peace, night holy, mother child",10,1975-1979,Weihnachten und Gott
57,"zappa, zappas, zappa nutzt, späten siebziger, satirischer kommentar",183,1975-1979,Satirische Gesellschaftskritik
58,"rosie, rost, love rose, diamonds rust, gelben rosen",38,1975-1979,Natur als Liebesmetapher
59,"reputation, send clowns, masquerade, farce, want what",102,1975-1979,Symbol der Verstellung und Schutzmechanismen
60,"china doll, lotte, erkältung, chip away, hatschi",34,1975-1979,Die Metaphorik der Kälte als emotionale Distanz
62,"schmetterling, schmetterlings, schmetterlinge, frosch, zerbrechlichkeit schönheit",7,1975-1979,Schmetterlingsmetaphorik über Wandel und neue Freiheit
63,"tosh, cannabis, pflanze, legalize, legalisierung",2,1975-1979,Straßenleben und Gewalt
64,"white christmas, sleigh, jingle, sleigh ride, weihnachtskarten",7,1975-1979,Weihnachten und Winter
-1,"zahlen zahlen, gig, laut laut, 1982, frühen 1980er",4150,1980-1984,Rauschen
0,"monolog sehnsucht, monolog erinnerung, monolog verzweiflung, monolog zerrissenheit, monolog resignation",889,1980-1984,Zerrissene Selbstreflexion
1,"körperliche bewegung, tanzkultur, rockin, tänzer, disco ära",429,1980-1984,Kollektiver Tanzrausch
2,"regen steht, äußere wetter, regnerischen, raining, regens steht",120,1980-1984,Regen als Trauermotiv
3,"weihnachtsfest, weihnachtszeit, weihnachtsmanns, merry christmas, weihnachtsmann",51,1980-1984,Weihnachtslieder
4,"konsumgesellschaft, bissiger, bissiger kommentar, werbe, profit",262,1980-1984,Konsumkritik
5,"türkische, arcade, frankfurt, deutschland, alphabet",39,1980-1984,"Luxus, Gewalt, Kriminalität"
6,"motors, driver, fahrers, freiheit geschwindigkeit, fortbewegungsmittel",165,1980-1984,Autofahren als Freiheitsmotiv
7,"überschwängliches, liebe allumfassende, wodurch liebe, liebesmanifest, unmittelbarkeit gefühls",531,1980-1984,Ewige Liebesbindung
8,"zugfahrt, memphis, eisenbahn, choo, lokomotive",65,1980-1984,Der Zug als Metapher für das Voranschreiten
9,"inneres gefängnis, rescue, ungeheuer, blackout, closet",335,1980-1984,Zerrissene Psyche
10,"gläubigen, christlicher, christlichen, bekenntnis christlicher, christus",96,1980-1984,Göttliche Gegenwart
11,"with fire, körperliche erregung, steht intensive, light fire, temperatur",125,1980-1984,Feuer als Motiv der Leidenschaft
12,"angel eyes, fallen angel, earth angel, angela, schutzengel",52,1980-1984,Engelsmotive
13,"düsteres panorama, bevölkerung, eindringlicher protest, kalten krieges, frühen 1980er",490,1980-1984,Gesellschaftskritik und Krieg
14,"sommernacht, provence, venedig, sommerromanze, sommerliebe",86,1980-1984,Mondmotive und Liebe
15,"jah, rastafari, tosh, babylon, cliff",223,1980-1984,Solidarität und Kollektivität
16,"kapitän, sailing, seemann, atlantis, sail away",178,1980-1984,Motive des Meeres
17,"heimweh, this house, physischen ort, home again, england",144,1980-1984,Heimat und Zugehörigkeit
18,"innenleben sehnsucht, ex partners, porträt beziehung, zerbrechlichen beziehung, selbstvorwurf",1510,1980-1984,Unerwiderte Liebe
19,"vermittelt optimistische, optimistische botschaft, ermutigung, manifestes, durchhaltewillen",354,1980-1984,Selbstermächtigung und Resilienz
20,"dut, machtdemonstration, schleichst, contamination, mcs",6,1980-1984,Aggressive Selbstinszenierung
21,"bethlehem, hirten, inkarnation, christi, gläubigen",36,1980-1984,Christlicher Glaube
22,"verführerin, temptation, voodoo, verführerischen gefährlichen, prisoner",431,1980-1984,Toxische Liebesabhängigkeit
23,"südens, südstaaten, kaliforniens, atlanta, mardi",25,1980-1984,Sehnsucht nach Amerika
24,"ex partners, erdrückenden beziehung, ringen selbstbehauptung, enough enough, out door",223,1980-1984,Befreiung aus toxischer Beziehung
25,"adler, over rainbow, federn, adlers, blackbird",173,1980-1984,Fliegen als Freiheitsmotiv 
26,"entfaltet liebe, überschwängliches, venus, begegnung geliebten, liebe allumfassende",253,1980-1984,Liebe als Transzendentes
27,"14 tage, tri, teenage, 14, thirty",62,1980-1984,Eltern‑Kind Bindung
28,"bullfrog, quiche, benny, kneipe, louise",68,1980-1984,Alkohol und Einsamkeit
29,"torheit, goody, foolin, fool love, kind fool",125,1980-1984,Naivität in der Liebe
30,"leitung, anrufer, operator, telefons, anrufs",145,1980-1984,Das Telefon als Sehnsuchtsmotiv
31,"jugendlicher verliebtheit, 1983, jahr 1983, balladen, sehnsucht körperlicher",606,1980-1984,Jugendliche Liebesballade
32,"melancholischer rückblick, feel up, wilden jahre, kindsein, easy street",103,1980-1984,Nostalgie der Jugend
33,"let snow, chilly winds, spuren schnee, frostigen, love games",22,1980-1984,Winter als Liebesmetapher
34,"sandman, sandmanns, beautiful boy, harris, sandmann",5,1980-1984,Schlaflieder
35,"computer, frühen 1980er, arbeitswelt, kommentar entfremdung, maschinen",747,1980-1984,Technokratische Dystopie und Systemkritik
36,"gold steht, goldes, stay gold, gold entfaltet, gold gold",13,1980-1984,Edelsteine als Motiv für Beständigkeit
38,"kartenspiels, ace, spades, glücksspiels, roulette",64,1980-1984,Glücksspiel als Metapher für das Leben
39,"america, amerikanischen traums, kennedy, indigenen, american dream",164,1980-1984,Amerikanische Identität und Kolonialismus
40,"stand by, zärtliches bekenntnis, bekenntnis bedingungsloser, reach out, partner bereit",161,1980-1984,Bedingungslose Unterstützung in Beziehungen
41,"sung, blues klassisches, boy blues, young boy, felt more",29,1980-1984,Blues als Ausdruck von Schmerz
42,"cowboys, pferde, pferdes, reiter, reiters",61,1980-1984,Amerikanischer Western‑Mythos
43,"autumn, laterne, ende sommers, randy, herbstlichen",69,1980-1984,Jahreszeiten als Motiv des Wandels
45,"gewässer, huck, blue water, wobei wasser, fluss steht",73,1980-1984,Wasser als Motiv
46,"flirts, körperliche anziehung, erotische, erotischer, language",329,1980-1984,Begierde und körperliche Verführung
48,"los los, broadway, tonk, honky tonk, honky",141,1980-1984,Urbanes Stadtporträt
49,"farbe blau, blue blue, blue day, wort blue, nylon",49,1980-1984,Blau als Symbol der Melancholie
50,"runaway, nowhere run, running away, rebecca, keep running",284,1980-1984,Flucht als Motiv der Bewältigung
51,"xanadu, shangri, shangri la, alien, paradieses",79,1980-1984,Eskapismus: Die Flucht in Reise- und Sehnsuchtsorte
52,"browns, james browns, payback, popcorn, rapp",18,1980-1984,"Funk, Soul und Tanzkultur"
53,"frühen hip, hop kultur, mcs, sugarhill, sucker",23,1980-1984,Hip‑Hop Machtdemonstration
55,"hollywoods, unterhaltungsindustrie, honky tonk, honky, tonk",39,1980-1984,"Glamour, Ruhm, Illusion"
56,"silent night, holy night, night holy, christi, pure light",7,1980-1984,Weihnachten und Gott
57,"zappa, zappas, zappa nutzt, bissiger, frühen 1980er",287,1980-1984,Satirische Gesellschaftskritik
58,"blüht, ewige feuer, segel wind, rose entfaltet, rote rose",37,1980-1984,Natur als Liebesmetapher
59,"masquerade, pretender, mask, great pretender, bruce",117,1980-1984,Symbol der Verstellung und Schutzmechanismen
60,"eisbär, emotionaler erstarrung, cold outside, icehouse, baby cold",74,1980-1984,Die Metaphorik der Kälte als emotionale Distanz
62,"schmetterlings, schmetterling, papillon, schmetterlinge, nutzt schmetterlings",14,1980-1984,Schmetterlingsmetaphorik über Wandel und neue Freiheit
63,"sensimilla, ub40, thug, wortspiel dub, überschattet kritischer",2,1980-1984,Straßenleben und Gewalt
64,"jingle, white christmas, sleigh, jingle bells, weihnachtslied",16,1980-1984,Weihnachten und Winter
-1,"zahlen zahlen, gig, laut laut, 1985, synth",3821,1985-1989,Rauschen
0,"monolog sehnsucht, monolog zerrissenheit, monolog erinnerung, monolog verzweiflung, monolog verlangen",994,1985-1989,Zerrissene Selbstreflexion
1,"clubszene, tanzkultur, körperliche bewegung, rockin, jahre clubkultur",315,1985-1989,Kollektiver Tanzrausch
2,"regnerischen, regen steht, äußere wetter, nutzt regens, let rain",149,1985-1989,Regen als Trauermotiv
3,"weihnachtszeit, weihnachtsfest, claus, santa claus, merry christmas",68,1985-1989,Weihnachtslieder
4,"sale, love sale, tism, bissiger, profit",235,1985-1989,Konsumkritik
5,"cheeba, benz, illegalen, hooptie, cannabis",32,1985-1989,"Luxus, Gewalt, Kriminalität"
6,"motors, fahrzeugs, beep, rider, freeway",126,1985-1989,Autofahren als Freiheitsmotiv
7,"überschwängliches, liebe allumfassende, liebesmanifest, klassisches liebesbekenntnis, unmittelbarkeit gefühls",589,1985-1989,Ewige Liebesbindung
8,"zugfahrt, lokomotive, nutzt zugfahrt, choo, eisenbahn",74,1985-1989,Der Zug als Metapher für das Voranschreiten
9,"inneres gefängnis, phantom, victim, bleibt düsteres, verdammnis",411,1985-1989,Zerrissene Psyche
10,"gläubigen, christlicher, christlichen, bekenntnis christlicher, christus",108,1985-1989,Göttliche Gegenwart
11,"fire love, steht leidenschaft, lodernden, verzehrend, verzehrende",153,1985-1989,Feuer als Motiv der Leidenschaft
12,"angel eyes, wort angel, fallen angel, gefallenen engels, engel nacht",64,1985-1989,Engelsmotive
13,"bevölkerung, eindringlicher protest, düsteres panorama, herrschenden, ökologische",545,1985-1989,Gesellschaftskritik und Krieg
14,"mond steht, sommerliebe, luna, vollmond, moon poetisches",100,1985-1989,Mondmotive und Liebe
15,"apartheid, jah, kollektive gewissen, gemeinsames handeln, verantwortung einzelnen",291,1985-1989,Solidarität und Kollektivität
16,"maritime, inseln, kapitän, avalon, seemanns",183,1985-1989,Motive des Meeres
17,"istanbul, way home, fernweh, homeless heart, heim ort",123,1985-1989,Heimat und Zugehörigkeit
18,"innenleben sehnsucht, unerfüllter liebe, heartache, angst erneutem, vertrauen erschüttert",1549,1985-1989,Unerwiderte Liebe
19,"vermittelt optimistische, optimistische botschaft, manifestierter aufruf, manifestes, up aufruf",360,1985-1989,Selbstermächtigung und Resilienz
20,"mix lot, rappers, sir mix, everlast, mcs",43,1985-1989,Aggressive Selbstinszenierung
21,"bethlehem, christi, hirten, noel, inkarnation",28,1985-1989,Christlicher Glaube
22,"verführerin, liebe gewalt, femme, spiel verlangen, voodoo",475,1985-1989,Toxische Liebesabhängigkeit
23,"kansas, kansas city, kaliforniens, injuns, kalifornischen",25,1985-1989,Sehnsucht nach Amerika
24,"liar, had enough, alibis, reputation, over now",222,1985-1989,Befreiung aus toxischer Beziehung
25,"adlers, broken wings, adler, hoffnung vielfalt, lerche",138,1985-1989,Fliegen als Freiheitsmotiv 
26,"entfaltet liebe, begegnung geliebten, quelle licht, überschwängliches, love entfaltet",278,1985-1989,Liebe als Transzendentes
27,"väterlicher, großvater, vater sohn, väter, jünger",53,1985-1989,Eltern‑Kind Bindung
28,"alkohols, dorothy, jordan, trinkverhalten, duet",47,1985-1989,Alkohol und Einsamkeit
29,"hearsay, fooled, just because, torheit, anschuldigungen",92,1985-1989,Naivität in der Liebe
30,"telefons, call name, leitung, hotline, back baby",116,1985-1989,Das Telefon als Sehnsuchtsmotiv
31,"synth, jugendlicher verliebtheit, synth pop, pop ära, jahre pop",592,1985-1989,Jugendliche Liebesballade
32,"toyland, loco, childhood, melancholischer rückblick, unbeschwerte phase",111,1985-1989,Nostalgie der Jugend
33,"schnees, let snow, december, fußspuren, time year",28,1985-1989,Winter als Liebesmetapher
34,"sandmann, schlichtes wiegenlied, good night, ye, schlaflied",21,1985-1989,Schlaflieder
35,"computer, video, arbeitswelt, information, bevölkerung",556,1985-1989,Technokratische Dystopie und Systemkritik
36,"goldmine, goldes, daytona, diamonds are, stay gold",17,1985-1989,Edelsteine als Motiv für Beständigkeit
37,"long beach, snoop, alltag kriminellen, gefüge definiert, thematisiert mechanismen",1,1985-1989,Westküsten‑Gangsta‑Identität
38,"lady luck, roulette, gambler, kartenspiel, kartenspiels",41,1985-1989,Glücksspiel als Metapher für das Leben
39,"america, amerikanischen traums, patriotismus, amerikanischer, kommentar amerikanischen",140,1985-1989,Amerikanische Identität und Kolonialismus
40,"bekenntnis bedingungsloser, stand by, zärtliches bekenntnis, bedingungsloser unterstützung, reach out",253,1985-1989,Bedingungslose Unterstützung in Beziehungen
41,"st pauli, pauli, blues genre, agent, findet blues",14,1985-1989,Blues als Ausdruck von Schmerz
42,"cowboys, jennings, pferde, südens, prärie",49,1985-1989,Amerikanischer Western‑Mythos
43,"herbstes, indian, sommerliebe, if go, foggy",89,1985-1989,Jahreszeiten als Motiv des Wandels
45,"fluss steht, gewässer, agua, tupelo, flood",100,1985-1989,Wasser als Motiv
46,"verführerin, erotischer, körperliche verlangen, shock, fox",267,1985-1989,Begierde und körperliche Verführung
48,"los los, honky, broadway, tonk, honky tonk",111,1985-1989,Urbanes Stadtporträt
49,"farbe blau, indigo, blau steht, misty, black blue",67,1985-1989,Blau als Symbol der Melancholie
50,"runaway, suicide, revival, running scared, alice",221,1985-1989,Flucht als Motiv der Bewältigung
51,"shangri, shangri la, alien, paradieses, wahre paradies",87,1985-1989,Eskapismus: Die Flucht in Reise- und Sehnsuchtsorte
52,"browns, james browns, godfather, full force, static",13,1985-1989,"Funk, Soul und Tanzkultur"
53,"ll cool, mcs, frühen hip, mc, jeff",108,1985-1989,Hip‑Hop Machtdemonstration
55,"hollywoods, zsa, unterhaltungsindustrie, showbusiness, altbier",25,1985-1989,"Glamour, Ruhm, Illusion"
56,"silent night, heavenly peace, holy night, hirten, sleep heavenly",10,1985-1989,Weihnachten und Gott
57,"zappa, zappas, macho, chad, zappa nutzt",221,1985-1989,Satirische Gesellschaftskritik
58,"blüht, red roses, gelbe rose, rose entfaltet, mohn",45,1985-1989,Natur als Liebesmetapher
59,"wrecking ball, wrecking, masquerade, good enough, not scared",77,1985-1989,Symbol der Verstellung und Schutzmechanismen
60,"cold outside, as ice, eisbrecher, gefrorene, frosts",81,1985-1989,Die Metaphorik der Kälte als emotionale Distanz
62,"schmetterlings, schmetterlinge, schmetterling, flüchtiges wesen, arm geliebten",7,1985-1989,Schmetterlingsmetaphorik über Wandel und neue Freiheit
63,"homies, leitmotiv loyalität, partys groupies, erfahrung kaum, etwa freund",1,1985-1989,Straßenleben und Gewalt
64,"jingle, sleigh, white christmas, sleigh ride, one horse",6,1985-1989,Weihnachten und Winter
-1,"zahlen zahlen, gig, frühen 90er, frühen 1990er, laut laut",4496,1990-1994,Rauschen
0,"monolog sehnsucht, wirrer monolog, monolog sprecherin, monolog zerrissenheit, monolog verlangen",1198,1990-1994,Zerrissene Selbstreflexion
1,"frühen 90er, rave, frühen 1990er, euro dance, manifest frühen",458,1990-1994,Kollektiver Tanzrausch
2,"regen steht, nutzt regens, äußere wetter, rainy day, rain nutzt",184,1990-1994,Regen als Trauermotiv
3,"merry christmas, weihnachtszeit, weihnachtsfest, mistelzweig, home christmas",139,1990-1994,Weihnachtslieder
4,"konsumgesellschaft, konsumenten, bissiger, profit, satirisches",242,1990-1994,Konsumkritik
5,"frühen 90er, drogenhandel, snip, krimineller, marihuana",74,1990-1994,"Luxus, Gewalt, Kriminalität"
6,"harley, motors, fahrzeugs, driver, fahrers",111,1990-1994,Autofahren als Freiheitsmotiv
7,"liebe allumfassende, überschwängliches, liebesmanifest, leidenschaftliches bekenntnis, überschwängliches bekenntnis",725,1990-1994,Ewige Liebesbindung
8,"zugfahrt, choo, eisenbahn, this train, voranschreiten lebens",91,1990-1994,Der Zug als Metapher für das Voranschreiten
9,"inneres gefängnis, rescue, selbstverletzung, dämon, selbstzerstörung verzweifelten",564,1990-1994,Zerrissene Psyche
10,"gläubigen, christlicher, christlichen, beziehung gott, christus",92,1990-1994,Göttliche Gegenwart
11,"stir, loderndes, burning up, lodernde, stir up",129,1990-1994,Feuer als Motiv der Leidenschaft
12,"angel eyes, reinheit schutz, anrede angel, wobei engels, engel figur",53,1990-1994,Engelsmotive
13,"düsteres panorama, bevölkerung, eindringlicher protest, ökologischen, ökologische",612,1990-1994,Gesellschaftskritik und Krieg
14,"mondlichts, sommerliebe, luna, sommerromanze, sommernacht",107,1990-1994,Mondmotive und Liebe
15,"kollektive gewissen, jah, verantwortung einzelnen, leidenschaftlicher aufruf, gemeinsames handeln",382,1990-1994,Solidarität und Kollektivität
16,"maritime, segelns, seemann, kapitän, sail away",222,1990-1994,Motive des Meeres
17,"way home, going home, heimweh, otto, zuhause ort",164,1990-1994,Heimat und Zugehörigkeit
18,"innenleben sehnsucht, unerwiderter, still love, unerfüllter liebe, intensives innenleben",1652,1990-1994,Unerwiderte Liebe
19,"vermittelt optimistische, manifestes, optimistische botschaft, leben bewusst, manifestierter aufruf",442,1990-1994,Selbstermächtigung und Resilienz
20,"frühen 90er, rappers, deutschen hip, hop szene, mc",95,1990-1994,Aggressive Selbstinszenierung
21,"hirten, bethlehem, christi, noel, inkarnation",69,1990-1994,Christlicher Glaube
22,"voodoo, verführerin, temptation, femme, verführerischen zerstörerischen",454,1990-1994,Toxische Liebesabhängigkeit
23,"kentucky, kaliforniens, mardi, mardi gras, kalifornischen",21,1990-1994,Sehnsucht nach Amerika
24,"erdrückenden beziehung, ex partners, befreiung toxischen, liar, betrugs",245,1990-1994,Befreiung aus toxischer Beziehung
25,"adler, over rainbow, adlers, blackbird, pegasus",219,1990-1994,Fliegen als Freiheitsmotiv 
26,"entfaltet liebe, begegnung geliebten, irdisch, love entfaltet, kosmisch",360,1990-1994,Liebe als Transzendentes
27,"vater sohn, abwesenden vater, problem child, pap, nachdenklicher dialog",76,1990-1994,Eltern‑Kind Bindung
28,"tubby, alkohols, oom pah, alcohol, trink",63,1990-1994,Alkohol und Einsamkeit
29,"goody, torheit, not love, rumour, fooling",82,1990-1994,Naivität in der Liebe
30,"operator, please go, telefons, wort baby, need tonight",107,1990-1994,Das Telefon als Sehnsuchtsmotiv
31,"frühen 90er, jugendlicher verliebtheit, frühen 1990er, vermittelt jugendlicher, jugendlicher leidenschaft",512,1990-1994,Jugendliche Liebesballade
32,"rades, yesterday once, romain, unbeschwertheit kindheit, hans",134,1990-1994,Nostalgie der Jugend
33,"let snow, schnees, frightful, delightful, nutzt winterliche",34,1990-1994,Winter als Liebesmetapher
34,"sandmann, nächtliches wiegenlied, zärtliches wiegenlied, zoë, schlichtes wiegenlied",35,1990-1994,Schlaflieder
35,"frühen 1990er, information, bildschirme, sarkastischer kommentar, bissiger",614,1990-1994,Technokratische Dystopie und Systemkritik
36,"herz gold, as gold, pyramide, goldes, gold steht",17,1990-1994,Edelsteine als Motiv für Beständigkeit
37,"snoop, dogg, cypress, cypress hill, snoop dogg",29,1990-1994,Westküsten‑Gangsta‑Identität
38,"dice, glücksspiels, kartenspiels, kartenspiel, roulette",52,1990-1994,Glücksspiel als Metapher für das Leben
39,"america, amerikanischen traums, indigenen, frühen 1990er, cherokee",119,1990-1994,Amerikanische Identität und Kolonialismus
40,"bekenntnis bedingungsloser, reach out, wahre freundschaft, zärtliches bekenntnis, stay together",258,1990-1994,Bedingungslose Unterstützung in Beziehungen
41,"boy blues, singen blues, poor boy, wort blues, blues musikstil",47,1990-1994,Blues als Ausdruck von Schmerz
42,"cowboys, pferde, outlaws, amerikanischen westens, prärie",67,1990-1994,Amerikanischer Western‑Mythos
43,"autumn, autumn leaves, laubs, indian summer, sommerwind",102,1990-1994,Jahreszeiten als Motiv des Wandels
45,"gewässer, fluss steht, nutzt flusses, swim, weiterfließt",124,1990-1994,Wasser als Motiv
46,"frühen 90er, frühen 1990er, euro dance, erotischer, bee",297,1990-1994,Begierde und körperliche Verführung
48,"los los, broadway, detroit, york city, chinatown",129,1990-1994,Urbanes Stadtporträt
49,"farbe blau, blau steht, indigo, suki, baby blue",72,1990-1994,Blau als Symbol der Melancholie
50,"runaway, monolog zerrissenheit, liverpool, ausgestoßenen, reed",287,1990-1994,Flucht als Motiv der Bewältigung
51,"alien, wonderland, raumschiff, paradies ort, aliens",84,1990-1994,Eskapismus: Die Flucht in Reise- und Sehnsuchtsorte
52,"browns, james browns, godfather, any harder, make funky",13,1990-1994,"Funk, Soul und Tanzkultur"
53,"frühen 90er, mcs, ll cool, mc, wu",187,1990-1994,Hip‑Hop Machtdemonstration
55,"mae, showbusiness, hollywoods, honky tonkin, tonkin",14,1990-1994,"Glamour, Ruhm, Illusion"
56,"silent night, holy night, heavenly peace, weihnachtsbotschaft, christi",29,1990-1994,Weihnachten und Gott
57,"zappa, frühen 90er, frühen 1990er, zappas, überspitztes",269,1990-1994,Satirische Gesellschaftskritik
58,"anastasia, barbara, blüht, lena, weiße rose",47,1990-1994,Natur als Liebesmetapher
59,"tracks tears, show must, andre, spuren tränen, erwartungen genügen",117,1990-1994,Symbol der Verstellung und Schutzmechanismen
60,"cold outside, cold heart, baby cold, cold cold, frostigen",75,1990-1994,Die Metaphorik der Kälte als emotionale Distanz
62,"schmetterlinge, schmetterlings, schmetterling, frei geboren, glanz sonne",8,1990-1994,Schmetterlingsmetaphorik über Wandel und neue Freiheit
63,"nas, 2pac, polizeigewalt, niggas, queensbridge",42,1990-1994,Straßenleben und Gewalt
64,"jingle, white christmas, sleigh, christmases, weihnachtslied",21,1990-1994,Weihnachten und Winter
-1,"zahlen zahlen, gig, späten 1990er, laut laut, sailor",5121,1995-1999,Rauschen
0,"monolog sehnsucht, monolog verzweiflung, monolog zerrissenheit, monolog sprecherin, monolog selbstzweifeln",1756,1995-1999,Zerrissene Selbstreflexion
1,"rave, euro dance, späten 1990er, elektronischen, beispiel späte",594,1995-1999,Kollektiver Tanzrausch
2,"regen steht, nutzt regens, rain nutzt, let rain, nutzt wetter",167,1995-1999,Regen als Trauermotiv
3,"weihnachtszeit, merry christmas, weihnachtsfest, weihnachtsmann, mistelzweig",207,1995-1999,Weihnachtslieder
4,"satirisches, konsumgesellschaft, bissiger, konsumenten, ärzte",278,1995-1999,Konsumkritik
5,"drogenhandel, niggas, nigga, illegalen, benz",248,1995-1999,"Luxus, Gewalt, Kriminalität"
6,"motors, rider, driver, fortbewegungsmittel, motorrad",165,1995-1999,Autofahren als Freiheitsmotiv
7,"liebe allumfassende, liebesmanifest, überschwängliches, unmittelbarkeit gefühls, klassisches liebesmanifest",909,1995-1999,Ewige Liebesbindung
8,"zugfahrt, lokomotive, choo, nutzt zugfahrt, choo choo",76,1995-1999,Der Zug als Metapher für das Voranschreiten
9,"inneres gefängnis, selbstzerstörung verzweifelten, selbstverletzung, dämon, kreislauf schuld",839,1995-1999,Zerrissene Psyche
10,"gläubigen, christlichen, christlicher, christi, christus",138,1995-1999,Göttliche Gegenwart
11,"venus, fire entfaltet, spiel feuer, entfaltet leidenschaftlicher, entfaltet liebe",112,1995-1999,Feuer als Motiv der Leidenschaft
12,"angel eyes, reinheit schutz, angel entfaltet, schutzengel, fallen angel",102,1995-1999,Engelsmotive
13,"düsteres panorama, babylon, bevölkerung, eindringlicher protest, umweltzerstörung",536,1995-1999,Gesellschaftskritik und Krieg
14,"moon entfaltet, blue moon, dream little, little dream, mondlichts",116,1995-1999,Mondmotive und Liebe
15,"jah, verantwortung einzelnen, gemeinsames handeln, mitzuwirken, kollektives erwachen",314,1995-1999,Solidarität und Kollektivität
16,"seemann, avalon, schiffes, segelns, kapitän",236,1995-1999,Motive des Meeres
17,"like home, home again, way home, heimkommen, zuhause ort",189,1995-1999,Heimat und Zugehörigkeit
18,"innenleben sehnsucht, unerwiderter, intensives ringen, selbstvorwurf, ex partners",1838,1995-1999,Unerwiderte Liebe
19,"vermittelt optimistische, manifestes, aufruf bewussten, optimistische botschaft, motivierender",502,1995-1999,Selbstermächtigung und Resilienz
20,"mcs, rappers, hop szene, deutschen hip, deutschen rap",199,1995-1999,Aggressive Selbstinszenierung
21,"bethlehem, hirten, christi, inkarnation, neugeborenen",86,1995-1999,Christlicher Glaube
22,"verführerin, addicted, beziehung liebe, obsessiver, temptation",454,1995-1999,Toxische Liebesabhängigkeit
23,"kentucky, südens, kaliforniens, memphis, bluegrass",27,1995-1999,Sehnsucht nach Amerika
24,"ex partners, selbstbehauptungs, täters, befreiung toxischen, ringen selbstbehauptung",363,1995-1999,Befreiung aus toxischer Beziehung
25,"adler, over rainbow, adlers, überwinden begrenzungen, fliegen akt",304,1995-1999,Fliegen als Freiheitsmotiv 
26,"entfaltet liebe, überschwängliches, begegnung geliebten, irdisch, augen geliebten",439,1995-1999,Liebe als Transzendentes
27,"mutter quelle, vater sohn, emotionales tribut, väterlicher, teddy",85,1995-1999,Eltern‑Kind Bindung
28,"kneipe, alkohols, one baby, charline, barkeeper",55,1995-1999,Alkohol und Einsamkeit
29,"torheit, fool love, goody, blöd, kind fool",80,1995-1999,Naivität in der Liebe
